index,Player,Goals,Shots,SoT,G/Sh,G/SoT,ShoDist,GCA,SCA,Off,PKwon,Assists,ScaPassLive,Car3rd,ScaFld,ToAtt,ToSuc,Carries,CarTotDist,CarPrgDist,CPA,CarMis,CarDis,PasTotCmp,PasAss,Pas3rd,Crs,PasCmp,PasOff,PasBlocks,ScaPassDead,ScaDrib,ScaSh,GcaPassDead,GcaDrib,GcaSh,GcaFld,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,Overall,PasTotDist,PasTotPrgDist,TklDriPast,Blocks,BlkSh,Int,Tkl+Int,Recov,AerWon,AerLost,CrdY,CrdR,Fls,Clr,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,GcaPassLive,PasTotCmp%,Fld,Pos
8,Emmanuel Gyasi,0.14285714285714285,0.129,0.188,0.1,0.13,0.5521235521235521,0.0,0.2428057553956835,0.47,0.0,0.0,0.30154639175257736,0.10500000000000001,0.0,0.129,0.048333333333333325,0.1185714285714286,0.09175824175824175,0.05106060606060606,0.057999999999999996,0.251,0.06999999999999999,0.18449197860962568,0.2102102102102102,0.12538226299694188,0.08146067415730338,0.18449197860962568,0.0,0.034999999999999996,0.0,0.07228915662650602,0.096,0.0,0.0,0.0,0.0,0.1658031088082902,0.13999999999999999,0.12184873949579832,0.13999999999999999,0.0,0.09956709956709957,0.22,0.267,22.6494798338601,,,,,,,,,,,,,,,,,,,,,,,FWDF
21,Jordi Osei-Tutu,0.0,0.17200000000000001,0.27599999999999997,0.0,0.0,0.7837837837837838,0.21794871794871795,0.30935251798561153,0.26,0.0,0.0,0.26546391752577325,0.13799999999999998,0.3063063063063063,0.29300000000000004,0.22999999999999998,0.16999999999999998,0.2108791208791209,0.13196969696969696,0.10300000000000001,0.379,0.08600000000000001,0.11497326203208558,0.15615615615615616,0.37003058103975534,0.21769662921348318,0.11497326203208558,0.3063063063063063,0.051500000000000004,0.0,0.20481927710843376,0.136,0.0,0.0,1.0,0.0,0.8031088082901555,0.9640000000000001,0.6512605042016807,0.34400000000000003,0.7582417582417581,0.5238095238095238,0.56,0.538,21.99779088281834,,,,,,,,,,,,,,,,,,,,,,,FWDF
9,Thorgan Hazard,0.0,0.15400000000000003,0.23199999999999998,0.0,0.0,0.5482625482625483,0.0,0.7949640287769785,0.385,0.0,0.0,0.7938144329896908,0.21200000000000002,0.0,0.288,0.09666666666666665,0.43142857142857144,0.20439560439560442,0.16515151515151516,0.096,0.135,0.0,0.8716577540106951,0.6366366366366367,0.9999999999999999,1.0,0.8716577540106951,0.17117117117117114,0.028999999999999998,0.6015625,0.0,0.46399999999999997,0.0,0.0,0.0,0.0,0.8471502590673576,0.45999999999999996,0.40336134453781514,0.8480000000000001,0.20879120879120877,1.0,0.8175,0.706,21.627434326531112,,,,,,,,,,,,,,,,,,,,,,,FWDF
26,Alexis Saelemaekers,0.0,0.145,0.15600000000000003,0.0,0.0,0.8185328185328185,0.3333333333333333,0.42625899280575547,0.0,0.0,0.38235294117647056,0.5077319587628867,0.132,0.11711711711711711,0.27599999999999997,0.13166666666666665,0.2914285714285714,0.1876923076923077,0.14454545454545456,0.10500000000000001,0.27599999999999997,0.09200000000000001,0.4090909090909091,0.23723723723723725,0.7247706422018348,0.38764044943820225,0.4090909090909091,0.0,0.03950000000000001,0.0,0.0,0.20800000000000002,0.0,0.0,0.0,0.0,0.6476683937823835,0.684,0.49579831932773105,0.472,0.14285714285714285,0.5714285714285714,0.625,0.526,15.610992576458907,,,,,,,,,,,,,,,,,,,,,,,FWDF
17,Farid El Melali,0.0,0.136,0.09200000000000001,0.0,0.0,0.6602316602316602,0.2948717948717949,0.32733812949640295,0.115,0.0,0.0,0.23453608247422683,0.341,0.4054054054054054,0.568,0.3416666666666666,0.36999999999999994,0.31065934065934064,0.23106060606060605,0.15900000000000003,0.386,0.068,0.2700534759358289,0.2042042042042042,0.5565749235474006,0.2556179775280899,0.2700534759358289,0.2072072072072072,0.07950000000000002,0.1796875,0.2771084337349398,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4789915966386554,0.908,0.49450549450549447,0.7878787878787878,0.6825,0.667,13.947711425377923,,,,,,,,,,,,,,,,,,,,,,,FWDF
22,Francisco Perez,0.0,0.2,0.0,0.0,0.0,0.9652509652509652,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,1.0,0.5142857142857142,0.3846153846153846,0.18181818181818182,0.0,0.2,0.4,0.786096256684492,0.0,0.6116207951070336,0.8426966292134832,0.786096256684492,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.136623082833415,,,,,,,,,,,,,,,,,,,,,,,FWDF
7,Gabriel Gudmundsson,0.0,0.083,0.0,0.0,0.0,0.9691119691119692,0.0,0.7500000000000001,0.415,0.0,0.0,0.8582474226804124,0.333,0.0,0.41700000000000004,0.5549999999999999,0.25,0.23813186813186812,0.17045454545454544,0.083,0.0,0.0835,0.3101604278074866,1.0,0.25382262996941896,0.702247191011236,0.3101604278074866,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8626943005181349,1.0,0.0,1.0,0.912087912087912,0.3593073593073593,0.4175,0.5,9.09726647287181,,,,,,,,,,,,,,,,,,,,,,,FWDF
3,Sergi Canós,0.0,0.11100000000000002,0.0,0.0,0.0,0.6216216216216217,0.0,0.5989208633093526,0.0,0.0,0.0,0.5721649484536083,0.22200000000000003,1.0,0.667,0.74,0.31714285714285717,0.24054945054945057,0.1868181818181818,0.0,0.0,0.0,0.34759358288770065,0.33333333333333337,0.6788990825688074,0.4676966292134832,0.34759358288770065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.555,0.0,6.905405818448666,,,,,,,,,,,,,,,,,,,,,,,FWDF
4,Pep Chavarría,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6546762589928059,0.0,0.0,0.0,0.7036082474226805,0.09100000000000001,0.0,0.09100000000000001,0.0,0.37714285714285717,0.17384615384615384,0.16803030303030303,0.0,0.09100000000000001,0.045500000000000006,0.5614973262032086,0.5465465465465466,0.5565749235474006,0.8932584269662922,0.5614973262032086,0.0,0.18200000000000002,0.7109375,0.0,0.0,0.0,0.0,0.0,0.0,0.2357512953367876,0.36400000000000005,0.0,0.0,0.9999999999999999,0.0,0.2275,0.0,4.083834215957516,,,,,,,,,,,,,,,,,,,,,,,FWDF
12,Luca Koleosho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5549999999999999,0.3328571428571428,0.24175824175824176,0.14651515151515151,0.333,1.0,0.0,0.28609625668449207,0.0,0.0,0.4676966292134832,0.28609625668449207,0.0,0.1665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8325,0.0,2.587536692154169,,,,,,,,,,,,,,,,,,,,,,,FWDF
